,lat,lon,months_open,num_items_sold,state_pop
700,33.96121,-118.351925,12,13,38802500.0
701,33.9617,-84.0235,6,11,10097343.0
702,33.964456,-83.412132,9,19,10097343.0
703,33.972624,-118.421939,6,16,38802500.0
704,33.972982,-118.204828,12,13,38802500.0
705,33.975058,-78.386035,5,17,9943964.0
706,33.9791,-118.036,12,0,38802500.0
707,33.980464,-81.235124,4,11,4832482.0
708,33.980873,-118.038187,6,8,38802500.0
709,33.987218,-118.465792,12,25,38802500.0
710,33.996827,-81.027815,3,8,4832482.0
711,33.997394,-81.072324,6,2,4832482.0
712,33.997669,-85.053094,12,20,10097343.0
713,34.001456,-118.483333,12,23,38802500.0
714,34.00386,-118.431172,12,15,38802500.0
715,34.0058,-118.256,12,5,38802500.0
716,34.013073,-118.256499,11,5,38802500.0
717,34.0137,-83.828,4,9,10097343.0
718,34.015314,-80.9875,7,14,4832482.0
719,34.017045,-118.497631,12,21,38802500.0
720,34.0213,-118.468193,12,22,38802500.0
721,34.021764,-86.088585,4,7,4849377.0
722,34.021933,-84.358985,6,20,10097343.0
723,34.023464,-84.614827,6,15,10097343.0
724,34.029778,-77.895273,6,13,9943964.0
725,34.031506,-118.168567,5,9,38802500.0
726,34.03349,-118.1609,12,15,38802500.0
727,34.037248,-80.998895,3,0,4832482.0
728,34.038659,-118.375266,12,10,38802500.0
729,34.03979,-118.334753,12,14,38802500.0
730,34.040716,-117.486497,12,8,38802500.0
731,34.040809,-118.249691,12,14,38802500.0
732,34.045724,-118.450674,12,14,38802500.0
733,34.047712,-118.250147,12,13,38802500.0
734,34.052234,-118.243685,8,5,38802500.0
735,34.053298,-106.892709,2,7,2085572.0
736,34.056401,-117.180306,12,16,38802500.0
737,34.056513,-84.063074,6,13,10097343.0
738,34.057208,-106.89307,5,9,2085572.0
739,34.057234,-117.181435,12,13,38802500.0
740,34.061997,-118.446688,12,17,38802500.0
741,34.0706,-117.921509,12,7,38802500.0
742,34.072239,-84.367314,9,15,10097343.0
743,34.072899,-118.215184,12,14,38802500.0
744,34.074043,-117.691638,12,5,38802500.0
745,34.074257,-118.398907,12,20,38802500.0
746,34.076886,-118.25863,12,19,38802500.0
747,34.084723,-118.10654,6,13,38802500.0
748,34.090541,-118.277386,12,20,38802500.0
749,34.095636,-117.718999,12,14,38802500.0
750,34.099366,-117.435806,12,7,38802500.0
751,34.100488,-84.52092,9,21,10097343.0
752,34.101398,-118.308138,12,7,38802500.0
753,34.104889,-84.189921,4,14,10097343.0
754,34.10769,-118.057863,12,12,38802500.0
755,34.107749,-117.80419,6,13,38802500.0
756,34.110554,-118.192843,12,12,38802500.0
757,34.110872,-117.532318,1,20,38802500.0
758,34.114739,-118.157282,9,19,38802500.0
759,34.117327,-83.572906,4,11,10097343.0
760,34.118435,-118.25983,12,23,38802500.0
761,34.121082,-116.432134,12,2,38802500.0
762,34.132412,-109.281673,6,16,6731484.0
763,34.132653,-80.875834,7,16,4832482.0
764,34.134943,-116.318253,12,19,38802500.0
765,34.135518,-117.193861,8,14,38802500.0
