,state,lon,lat,months_open,num_items_sold,state_pop,name
384,Georgia,32.46654,-84.993217,8.0,14.0,10097343.0,
385,Alabama,32.4693,-86.4523,3.0,6.0,4849377.0,
386,Texas,32.4941,-94.740886,9.0,16.0,26956958.0,
387,Louisiana,32.509449,-92.10813,4.0,3.0,4649676.0,
388,Louisiana,32.513164,-93.744428,3.0,24.0,4649676.0,
389,Louisiana,32.529214,-92.635542,9.0,18.0,4649676.0,
390,Louisiana,32.533809,-93.515691,3.0,9.0,4649676.0,
391,Alabama,32.535992,-85.894695,3.0,10.0,4849377.0,
392,Mississippi,32.550925,-90.216589,6.0,15.0,2994079.0,
393,Louisiana,32.555569,-93.609141,2.0,11.0,4649676.0,
394,Texas,32.564588,-97.134052,7.0,17.0,26956958.0,
395,California,32.579555,-117.131973,6.0,14.0,38802500.0,
396,Georgia,32.618882,-83.61042,12.0,21.0,10097343.0,
397,Georgia,32.62481,-83.686354,1.0,6.0,10097343.0,
398,Alabama,32.638327,-87.301183,4.0,1.0,4849377.0,
399,Texas,32.662165,-95.489641,6.0,17.0,26956958.0,
400,California,32.67585,-115.487132,6.0,11.0,38802500.0,
401,Louisiana,32.69486,-93.737025,3.0,22.0,4649676.0,
402,California,32.697827,-117.167736,12.0,10.0,38802500.0,
403,Alabama,32.699164,-87.579575,4.0,4.0,4849377.0,
404,California,32.706662,-117.09361,12.0,11.0,38802500.0,
405,California,32.715,-117.162,8.0,9.0,38802500.0,
406,Texas,32.716447,-97.442048,12.0,18.0,26956958.0,
407,California,32.717923,-117.134551,12.0,18.0,38802500.0,
408,California,32.721931,-117.167558,12.0,24.0,38802500.0,
409,California,32.722618,-117.168347,12.0,19.0,38802500.0,
410,California,32.722979,-117.168261,12.0,23.0,38802500.0,
411,South Carolina,32.723233,-80.078495,12.0,22.0,4832482.0,
412,Texas,32.737817,-97.104737,12.0,10.0,26956958.0,
413,Texas,32.741786,-97.362428,7.0,13.0,26956958.0,
414,Texas,32.745823,-97.004543,10.0,27.0,26956958.0,
415,California,32.74619,-117.25016,12.0,18.0,38802500.0,
416,California,32.747343,-117.130055,12.0,21.0,38802500.0,
417,California,32.747831,-117.101521,12.0,15.0,38802500.0,
418,Texas,32.747861,-96.4694,9.0,14.0,26956958.0,
419,California,32.750603,-117.149244,12.0,27.0,38802500.0,
420,California,32.767141,-117.022129,12.0,17.0,38802500.0,
421,New Mexico,32.773106,-108.275568,6.0,18.0,2085572.0,
422,Texas,32.777649,-96.789378,12.0,22.0,26956958.0,
423,California,32.785138,-117.170726,12.0,15.0,38802500.0,
